positive;audio/positive.m4a;ADJECTIVE;tích cực;a positive factor;một nhân tố tích cực
negative;ADJECTIVE;tiêu cực;a negative attitude;một thái độ tiêu cực
price;NOUN;giá cả;The price is reasonable;Giá cả hợp lý
sale;NOUN;bán hàng;Sales increased this month;Doanh số tăng tháng này
purchase;NOUN;mua hàng;The purchase was completed;Việc mua hàng hoàn tất
contract;NOUN;hợp đồng;The contract was signed;Hợp đồng đã được ký
partner;NOUN;đối tác;The partner supports us;Đối tác hỗ trợ chúng tôi
client;NOUN;khách hàng;The client requested changes;Khách hàng yêu cầu thay đổi
market;NOUN;thị trường;The market is growing;Thị trường đang phát triển
competition;NOUN;cạnh tranh;Competition is intense;Cạnh tranh rất gay gắt
advertising;NOUN;quảng cáo;Advertising boosts sales;Quảng cáo thúc đẩy doanh số
promotion;NOUN;khuyến mãi;The promotion attracted buyers;Khuyến mãi thu hút người mua
brand;NOUN;thương hiệu;The brand is famous;Thương hiệu nổi tiếng
quality;NOUN;chất lượng;Quality is our priority;Chất lượng là ưu tiên hàng đầu
standard;NOUN;tiêu chuẩn;The product meets standards;Sản phẩm đạt tiêu chuẩn
inspection;NOUN;kiểm tra;Inspection ensures quality;Kiểm tra đảm bảo chất lượng
audit;NOUN;đánh giá;The audit was completed;Cuộc đánh giá đã hoàn thành
safety;NOUN;an toàn;Food safety is important;An toàn thực phẩm rất quan trọng
hygiene;NOUN;vệ sinh;Good hygiene prevents disease;Vệ sinh tốt ngăn ngừa bệnh
hazard;NOUN;mối nguy;Chemical hazards must be controlled;Mối nguy hóa học phải được kiểm soát
risk;NOUN;rủi ro;Risk management is necessary;Quản lý rủi ro là cần thiết
food;NOUN;thực phẩm;Food quality matters;Chất lượng thực phẩm rất quan trọng
factory;NOUN;nhà máy;The factory produces goods;Nhà máy sản xuất hàng hóa
production;NOUN;sản xuất;Production increased this year;Sản lượng tăng năm nay
machine;NOUN;máy móc;The machine works well;Máy hoạt động tốt
equipment;NOUN;thiết bị;The equipment is modern;Thiết bị hiện đại
warehouse;NOUN;kho hàng;Goods are stored in the warehouse;Hàng được lưu trong kho
logistics;NOUN;hậu cần;Logistics reduces costs;Hậu cần giúp giảm chi phí
transport;NOUN;vận chuyển;Transport takes two days;Vận chuyển mất hai ngày
shipment;NOUN;lô hàng;The shipment arrived today;Lô hàng đến hôm nay
export;VERB;xuất khẩu;Vietnam exports coffee;Việt Nam xuất khẩu cà phê
import;VERB;nhập khẩu;The company imports machinery;Công ty nhập khẩu máy móc
customs;NOUN;hải quan;Customs cleared the goods;Hải quan thông quan hàng hóa
document;NOUN;tài liệu;Please send the document;Vui lòng gửi tài liệu
invoice;NOUN;hóa đơn;The invoice was issued;Hóa đơn đã được phát hành
payment;NOUN;thanh toán;Payment was received;Đã nhận thanh toán
bank;NOUN;ngân hàng;The bank approved the loan;Ngân hàng phê duyệt khoản vay
loan;NOUN;khoản vay;The loan was approved;Khoản vay được duyệt
account;NOUN;tài khoản;The account is active;Tài khoản đang hoạt động
cash;NOUN;tiền mặt;Cash payment is accepted;Chấp nhận thanh toán tiền mặt
revenue;NOUN;doanh thu;Revenue increased this quarter;Doanh thu tăng quý này
growth;NOUN;tăng trưởng;The company achieved growth;Công ty đạt tăng trưởng
development;NOUN;phát triển;Business development is important;Phát triển kinh doanh rất quan trọng
training;NOUN;đào tạo;Training improves skills;Đào tạo nâng cao kỹ năng
education;NOUN;giáo dục;Education creates opportunities;Giáo dục tạo cơ hội
research;NOUN;nghiên cứu;Research supports innovation;Nghiên cứu hỗ trợ đổi mới
analysis;NOUN;phân tích;Data analysis is useful;Phân tích dữ liệu rất hữu ích
information;NOUN;thông tin;The information is accurate;Thông tin chính xác
data;NOUN;dữ liệu;The data was collected;Dữ liệu đã được thu thập
technology;NOUN;công nghệ;Technology changes business;Công nghệ thay đổi kinh doanh
internet;NOUN;internet;The internet connects people;Internet kết nối mọi người
software;NOUN;phần mềm;The software is updated;Phần mềm được cập nhật
system;NOUN;hệ thống;The system works efficiently;Hệ thống hoạt động hiệu quả
network;NOUN;mạng lưới;The network is stable;Mạng lưới ổn định
communication;NOUN;giao tiếp;Communication is essential;Giao tiếp rất quan trọng
language;NOUN;ngôn ngữ;English is an international language;Tiếng Anh là ngôn ngữ quốc tế
success;NOUN;thành công;Hard work leads to success;Làm việc chăm chỉ dẫn đến thành công
failure;NOUN;thất bại;Failure teaches lessons;Thất bại mang lại bài học
opportunity;NOUN;cơ hội;This is a great opportunity;Đây là cơ hội tuyệt vời
challenge;NOUN;thách thức;Every challenge has solutions;Mỗi thách thức đều có giải pháp
experience;NOUN;kinh nghiệm;Experience is valuable;Kinh nghiệm rất quý giá
knowledge;NOUN;kiến thức;Knowledge is power;Tri thức là sức mạnh
skill;NOUN;kỹ năng;Communication skill is important;Kỹ năng giao tiếp rất quan trọng
career;NOUN;sự nghiệp;She has a successful career;Cô ấy có sự nghiệp thành công
job;NOUN;công việc;I enjoy my job;Tôi thích công việc của mình
future;NOUN;tương lai;We plan for the future;Chúng tôi lập kế hoạch cho tương lai
